NULL;51;NU01120000;Delegación de Tecnología Educativa;A101130300;Dirección y/o Delegación de Tecnología Educativa
NULL;51;NU01130000;Delegación de Comunicación Corporativa;A101030200;Comunicación Corporativa 
NULL;51;NU01140000;Coordinación Administrativa;A101080100;Coordinación de Administración 
NULL;51;NU01140100;Delegación de Presupuesto;A101070200;Dirección y/o Delegación de Presupuesto
NULL;51;NU01140200;Delegación de Personal;A101060100;Dirección y/o Delegación de Personal
NULL;51;NU01140201;Departamento de Nómina;A101060200;Departamento de Nómina
NULL;51;NU01140300;Delegación de Finanzas;A101080200;Dirección y/o Delegación de Finanzas
NULL;51;NU01140301;Departamento de Contabilidad;A101080203;Departamento de Contabilidad
NULL;51;NU01140400;Comedor Universitario;A101140400;Comedor Estudiantil
NULL;51;NU01140500;Coordinación de Servicios Generales;A101150200;Coordinación y/o Sección de Servicios Generales
NULL;51;NU01140600;Sección de Compras;A101080101;Sección de Compras
NULL;51;NU01160100;Escuela de Medicina - Dirección;A101100401;Dirección y Gestión Escuelas Área Ciencias de la Salud
NULL;51;NU01160200;Escuela de Medicina - Departamento de Medicina;A101100403;Departamento de Medicina
NULL;51;NU01160300;Escuela de Medicina - Departamento de Cirugia;A101100403;Departamento de Medicina
NULL;51;NU01160400;Escuela de Medicina - Departamento de Medicina Preventiva;A101100403;Departamento de Medicina
NULL;51;NU01160500;Escuela de Medicina - Departamento de Radiología;A101100403;Departamento de Medicina
NULL;51;NU01160600;Escuela de Medicina - Departamento de Psiquiatría;A101100403;Departamento de Medicina
NULL;51;NU01160700;Escuela de Medicina - Departamento de Ciencias Fisiológicas;A101100403;Departamento de Medicina
NULL;51;NU01160800;Escuela de Medicina - Departamento de Ginecología y Obstetricia;A101100403;Departamento de Medicina
NULL;51;NU01160900;Escuela de Medicina - Departamento de Pediatria;A101100403;Departamento de Medicina
NULL;51;NU01161000;Escuela de Medicina - Departamento de Microbiología y Parasitología;A101100403;Departamento de Medicina
NULL;51;NU01161100;Escuela de Medicina - Departamento de Morfología;A101100403;Departamento de Medicina
NULL;51;NU01161200;Escuela de Medicina - Departamento de Anatomía Patológica;A101100403;Departamento de Medicina
NULL;51;NU01161300;Escuela de Medicina - Departamento de Enfermería;A101100404;Departamento de Enfermería
